--------- beginning of system
09-12 09:43:54.281 I/keystore2(  200): system/security/keystore2/watchdog/src/lib.rs:319 - Watchdog thread idle -> terminating. Have a great day.
--------- beginning of main
09-12 09:43:54.507 D/Maestro (25111): Requesting view hierarchy
09-12 09:43:54.532 W/QueryController(25111): Could not detect idle state.
09-12 09:43:54.539 W/QueryController(25111): Could not detect idle state.
09-12 09:43:54.809 D/ActivityManager(  600): freezing 2148 com.android.vending:background
09-12 09:43:54.905 I/rkstack.process(  924): Background concurrent mark compact GC freed 2728KB AllocSpace bytes, 0(0B) LOS objects, 49% free, 2771KB/5543KB, paused 2.375ms,10.098ms total 384.839ms
09-12 09:43:55.007 D/ActivityManager(  600): freezing 1673 com.android.vending
09-12 09:43:55.010 D/InetDiagMessage(  600): Destroyed 0 sockets, proto=IPPROTO_TCP, family=AF_INET, states=14
09-12 09:43:55.011 D/InetDiagMessage(  600): Destroyed 1 sockets, proto=IPPROTO_TCP, family=AF_INET6, states=14
09-12 09:43:55.012 D/InetDiagMessage(  600): Destroyed live tcp sockets for uids={10142} in 3ms
09-12 09:43:55.048 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@c443d; boundsInParent: Rect(0, 0 - 0, 0); boundsInScreen: Rect(827, 66 - 827, 66); boundsInWindow: Rect(827, 66 - 827, 66); packageName: com.android.systemui; className: android.widget.FrameLayout; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.387 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@cad57; boundsInParent: Rect(0, 0 - 996, 49); boundsInScreen: Rect(48, 677 - 1044, -3594); boundsInWindow: Rect(48, 677 - 1044, -3594); packageName: com.merxus.mobile.qa; className: android.widget.TextView; text: PHONE SETTINGS; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_NEXT_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_PREVIOUS_AT_MOVEMENT_GRANULARITY - null, AccessibilityAction: ACTION_SET_SELECTION - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.392 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@cb118; boundsInParent: Rect(0, 0 - 1008, 184); boundsInScreen: Rect(36, 677 - 1044, -3385); boundsInWindow: Rect(36, 677 - 1044, -3385); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.403 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@d744c; boundsInParent: Rect(0, 0 - 1008, 60); boundsInScreen: Rect(36, 677 - 1044, -3289); boundsInWindow: Rect(36, 677 - 1044, -3289); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: SPEECH RUNTIME, ; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.411 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@da158; boundsInParent: Rect(0, 0 - 1008, 60); boundsInScreen: Rect(36, 677 - 1044, -3181); boundsInWindow: Rect(36, 677 - 1044, -3181); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: SMS MESSAGING, ; tooltipText: null; containerTitle: null; viewIdResName: settings.sms.open; uniqueId: null; checkable: false; checked: false; focusable: true; focused: false; selected: false; clickable: true; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: true; visible: false; actions: [AccessibilityAction: ACTION_FOCUS - null, AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_CLICK - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.416 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@db41d; boundsInParent: Rect(0, 0 - 1008, 184); boundsInScreen: Rect(36, 677 - 1044, -2973); boundsInWindow: Rect(36, 677 - 1044, -2973); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.425 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@dc6e2; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -2734); boundsInWindow: Rect(36, 677 - 1044, -2734); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.431 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@dd9a7; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -2495); boundsInWindow: Rect(36, 677 - 1044, -2495); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.437 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@dec6c; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -2256); boundsInWindow: Rect(36, 677 - 1044, -2256); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.441 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@dff31; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -2017); boundsInWindow: Rect(36, 677 - 1044, -2017); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.444 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e11f6; boundsInParent: Rect(0, 0 - 1008, 183); boundsInScreen: Rect(36, 677 - 1044, -1823); boundsInWindow: Rect(36, 677 - 1044, -1823); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.451 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e24bb; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -1583); boundsInWindow: Rect(36, 677 - 1044, -1583); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.458 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e3780; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -1344); boundsInWindow: Rect(36, 677 - 1044, -1344); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.463 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e4a45; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -1105); boundsInWindow: Rect(36, 677 - 1044, -1105); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.468 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e5d0a; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -866); boundsInWindow: Rect(36, 677 - 1044, -866); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
09-12 09:43:55.474 I/Maestro (25111): Skipping invisible child: android.view.accessibility.AccessibilityNodeInfo@e6fcf; boundsInParent: Rect(0, 0 - 1008, 227); boundsInScreen: Rect(36, 677 - 1044, -627); boundsInWindow: Rect(36, 677 - 1044, -627); packageName: com.merxus.mobile.qa; className: android.view.ViewGroup; text: null; error: null; maxTextLength: -1; stateDescription: null; contentDescription: null; tooltipText: null; containerTitle: null; viewIdResName: null; uniqueId: null; checkable: false; checked: false; focusable: false; focused: false; selected: false; clickable: false; longClickable: false; contextClickable: false; enabled: true; password: false; scrollable: false; granularScrollingSupported: false; importantForAccessibility: false; visible: false; actions: [AccessibilityAction: ACTION_SELECT - null, AccessibilityAction: ACTION_CLEAR_SELECTION - null, AccessibilityAction: ACTION_ACCESSIBILITY_FOCUS - null, AccessibilityAction: ACTION_SHOW_ON_SCREEN - null]; isTextSelectable: false
